Original File Name	Project File Name	YTLink	Dialekt	Länge	WER WhisperLarge	CER WhisperLarge	WER WhisperTurbo	CER WhisperTurbo	WER Small	CER Small	WER vosk_model_ar_022_linto_110	CER vosk_model_ar_022_linto_110	WER vosk_model_ar_mgb2	CER vosk_model_ar_mgb2	WER vosk_model_ar_tn_01_linto	CER vosk_model_ar_tn_01_linto	WER transkriptor	CER transkriptor	WER gemini_ara_IL	CER gemini_ara_IL	WER azureSpeech_ar_IL	CER azureSpeech_ar_IL
تعرف على حجم الأضرار في خربتي حلاوة والفخيت عقب هجوم المستوطنين بمسافر يطا جنوبي الخليل	AlJazeera	https://www.youtube.com/watch?v=OQVm0pKuhSo&list=PLd4j42hRYCNWjih3bCiIEzne2Dd6KfKeT&index=3&t=1s	MSA	04:15	0.12778904665314403	0.10045985143261407	0.10547667342799188	0.0916165546515741	0.22920892494929007	0.12345242306331801	0.14198782961460446	0.11142553944110364	0.1359026369168357	0.10859568447117085	0.6937119675456389	0.3731871241598868	0.34685598377281945	0.29006013441811107	0.4340770791075051	0.17792713123452422	0.21703853955375255	0.10470463388751326
Levantine Arabic Listening Practice With English Subtitles | Palestinian Documentary Part 1	ArchitektLangsam	https://www.youtube.com/watch?v=GZbj89jma64&list=PLd4j42hRYCNWjih3bCiIEzne2Dd6KfKeT&index=15	Levantine (Gaza)	00:44	0.23076923076923078	0.058823529411764705	0.16666666666666666	0.05411764705882353	0.23076923076923078	0.08941176470588236	0.3333333333333333	0.11529411764705882	0.28205128205128205	0.10588235294117647	0.48717948717948717	0.21176470588235294	0.3974358974358974	0.2376470588235294	0.5512820512820513	0.12941176470588237	0.2564102564102564	0.05176470588235294
Levantine Arabic Listening Practice With English Subtitles | Palestinian Documentary Part 1	ArchitektSchnell	https://www.youtube.com/watch?v=GZbj89jma64&list=PLd4j42hRYCNWjih3bCiIEzne2Dd6KfKeT&index=15	Levantine (Gaza)	00:58	0.23076923076923078	0.08705882352941176	0.20512820512820512	0.07294117647058823	0.41025641025641024	0.16470588235294117	0.3974358974358974	0.14823529411764705	0.41025641025641024	0.15058823529411763	0.8205128205128205	0.5317647058823529	0.46153846153846156	0.2776470588235294	0.6410256410256411	0.23294117647058823	0.44871794871794873	0.08705882352941176
محادثة عربية / التعارف للناطقين بغير العربية	LernvideoSchule	https://www.youtube.com/watch?v=okOOqKv1mfE&list=PLd4j42hRYCNWjih3bCiIEzne2Dd6KfKeT&index=7	MSA	01:43	0.04040404040404041	0.10284463894967177	0.0	0.04814004376367615	0.12121212121212122	0.10065645514223195	0.0707070707070707	0.045951859956236324	0.1111111111111111	0.08315098468271334	0.5757575757575758	0.33260393873085337	0.2828282828282828	0.20350109409190373	0.35353535353535354	0.10940919037199125	0.5050505050505051	0.09409190371991247
موسم التوت في الطيرة شي من الخيال	Tire	https://www.youtube.com/watch?v=oNWQNJxNeH4&list=PLd4j42hRYCNWjih3bCiIEzne2Dd6KfKeT&index=9	Levantine (Israel)	04:42	0.4298440979955457	0.20527617477328935	0.4766146993318486	0.2201154163231657	0.7171492204899778	0.36644682605111295	0.5567928730512249	0.33182192910140146	0.579064587973274	0.3396537510305029	0.8463251670378619	0.47444352844187965	0.7527839643652561	0.48928276999175596	0.5634743875278396	0.2774113767518549	0.48329621380846327	0.19620774938169827
ثلاثة اختراعات رائعة صنعت في العام الماضي 🙂💚	Werbevideo	https://www.youtube.com/watch?v=8J4Z50P5M3A	MSA	03:23	0.11142857142857143	0.07684580612757408	0.09428571428571429	0.047714716223003516	0.1742857142857143	0.05725765946760422	0.16285714285714287	0.06479156202913108	0.17714285714285713	0.06730286288297338	0.7828571428571428	0.4239075841285786	0.28	0.21245605223505776	0.54	0.1662481165243596	0.26857142857142857	0.057759919638372674
